Nombre_Empresa_clean,Fecha,pasajeros
HORIZONTAL S A S,2020-01-01,412
AERUPIA SAS,2021-07-01,194
AMERICAN,2021-03-01,152061
AIR CANADA,2014-05-01,5246
CENTRAL CHARTER,2019-04-01,7
AVIANCA,2017-01-01,1556656
SAVIARE LTDA,2017-01-05,294
SAVIARE LTDA,2017-01-08,243
TAERCO,2017-01-03,130
CHARTER DEL CARIBE S.A.,2017-01-05,141
LADECO,2019-02-01,0
REGIONAL EXPRESS AMERICAS,2019-06-01,37096
RIO SUR,2014-11-01,93
VIANA S.A.S,2014-05-01,346
PACIFICA DE AVIACION S.A.S,2014-08-01,374
INSEL AIR,2014-04-01,1523
SPIRIT AIRLINES,2014-10-01,21067
AEROREPUBLICA,2014-08-01,201034
AEROMENEGUA,2015-10-01,397
AERUPIA SAS,2015-06-01,452
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2015-02-01,768
AIR FRANCE,2015-08-01,15038
FLORIDA WEST INTERNATIONAL AIRWAYS INC.,2015-05-01,0
SATENA,2015-10-01,88393
KLM,2020-11-01,13617
SKY LEASE,2020-06-01,0
SKY LEASE,2020-09-01,0
ABSA,2021-02-01,0
GOOD FLY CO SAS,2022-02-01,48
SAER,2022-02-01,66
HELISTAR S.A.S,2021-07-01,152
TAMPA CARGO,2021-06-01,0
ALIANSA,2015-11-01,1420
UNITED PARCEL SERVICE,2020-02-01,0
AMERICAN,2019-04-01,64019
JETBLUE AIRWAYS,2017-01-03,29645
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2017-01-05,0
VENSECAR C.A.,2017-01-08,0
TAERCO,2017-01-05,170
NO REGISTRA,2017-01-07,683
TAC,2017-01-09,4544
LATAM,2014-05-01,352157
LATAM,2014-12-01,443800
SARPA S.A.S,2014-12-01,4658
AEROLINEAS ARGENTINAS,2014-06-01,5864
CARGOLUX AIRLINES INTERNATIONAL S.A.,2014-06-01,0
UNITED PARCEL SERVICE,2014-12-01,0
CONVIASA,2014-11-01,8644
AEROLINEAS ALAS DE COLOMBIA LTDA.,2015-03-01,377
HELISTAR S.A.S,2015-07-01,223
LASER AEREO S.A.S,2015-11-01,900
CENTRAL CHARTER,2015-08-01,12
CENTURION AIR CARGO COLOMBIA,2015-06-01,0
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2015-03-01,0
OCEANAIR,2015-08-01,416
QATAR AIRWAYS COMPANY,2022-04-01,0
COPA,2020-12-01,197085
SPIRIT AIRLINES,2022-01-01,92406
AERUPIA SAS,2020-10-01,633
ALPES S.A.S,2020-02-01,363
ARO LTDA,2020-09-01,420
COPA,2020-09-01,1614
IBERIA,2020-10-01,13086
ABSA,2020-01-01,0
RIO SUR,2021-05-01,78
AVIANLINE CHARTE´S S.A.S.,2021-06-01,1272
EASYFLY S.A,2017-01-05,77473
EASYFLY S.A,2017-01-08,84389
TAMPA CARGO,2017-01-04,0
AVIOICHARTER LIMITADA,2017-01-02,9
MARTINAIR,2017-01-09,0
TURKISH AIRLINES INC,2017-01-11,2855
AERO APOYO,2017-01-10,258
MARTINAIR,2019-06-01,0
HELIGOLFO S.A.S,2014-04-01,484
INTEREJECUTIVA,2015-12-01,275
HELI JET SAS,2015-11-01,237
HELIGOLFO S.A.S,2015-06-01,154
AER CARIBE,2015-09-01,66
HELICOL,2015-07-01,7601
LAS,2015-07-01,0
SOLAR CARGO,2015-02-01,0
SOLAR CARGO,2015-12-01,0
OCEANAIR,2015-03-01,369
LINEA AEREA BOLIVARIANA,2015-07-01,4226
IBERIA,2021-08-01,19188
CHARTER DEL CARIBE S.A.,2021-12-01,28
TAC,2022-01-01,1576
RIO SUR,2020-06-01,39
SAVIARE LTDA,2020-05-01,108
NO REGISTRA,2020-05-01,57
AERO LLANOS DEL ORIENTE,2020-10-01,99
DELTA,2021-02-01,17116
AERUPIA SAS,2021-03-01,162
AER CARIBE,2019-04-01,0
LATAM,2017-01-03,381654
VIVA AIR,2017-01-05,250824
ALLAS S.A.S,2017-01-01,2081
HELI JET SAS,2017-01-07,349
LASER AEREO S.A.S,2017-01-02,282
ALIANSA,2017-01-05,1066
LAS,2017-01-10,0
VIVA AIR,2017-01-10,261143
AERUPIA SAS,2017-01-11,809
AMERICA´S AIR SAS,2017-01-10,383
CENTURION AIR CARGO COLOMBIA,2014-01-01,0
JETBLUE AIRWAYS,2014-11-01,32035
AEROCHARTER ANDINA S.A.S.,2015-10-01,174
AMERICA´S AIR SAS,2015-04-01,221
CENTURION AIR CARGO COLOMBIA,2015-07-01,0
LAS,2015-10-01,0
UNITED PARCEL SERVICE,2015-02-01,0
SAVIARE LTDA,2022-04-01,121
SKY LEASE,2022-04-01,0
PACIFICA DE AVIACION S.A.S,2022-08-01,2998
VENSECAR C.A.,2020-12-01,0
UNITED PARCEL SERVICE,2022-01-01,0
DHL AERO EXPRESO,2020-07-01,0
SATENA,2020-04-01,534
VIANA S.A.S,2020-01-01,132
CHARTER DEL CARIBE S.A.,2021-03-01,4
ATLAS AIR,2021-06-01,0
EMIRATES,2021-06-01,0
PACIFICA DE AVIACION S.A.S,2019-04-01,70
LACSA,2017-01-07,20130
UNITED AIR LINES INC,2017-01-05,22428
AEROMENEGUA,2017-01-06,284
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2017-01-10,0
LACSA,2017-01-09,16859
AEXPA,2017-01-11,805
CHARTER EXPRESS SAS,2014-10-01,187
SATENA,2014-12-01,88205
TACA INTERNATIONAL,2014-05-01,20239
ALLAS S.A.S,2015-02-01,1098
AVIOICHARTER LIMITADA,2015-02-01,310
PACIFICA DE AVIACION S.A.S,2015-05-01,76
INTERJET,2015-12-01,14146
HELICOL,2015-09-01,6543
MAS AIR,2015-02-01,0
MARTINAIR,2015-09-01,0
AVIOCESAR,2021-04-01,22
SEARCA S.A.,2020-12-01,23718
HORIZONTAL S A S,2020-12-01,2685
ALIANSA,2022-12-01,399
HELIGOLFO S.A.S,2022-01-01,197
SARPA S.A.S,2020-09-01,948
ETHIPIAN AIRLINES,2020-02-01,0
TACA INTERNATIONAL,2020-01-01,20170
ALPES S.A.S,2021-06-01,20
RIO SUR,2017-01-12,150
DELTA,2021-12-01,9146
PACIFICA DE AVIACION S.A.S,2017-01-08,1903
OCEANAIR,2017-01-11,12912
AERO APOYO,2019-06-01,195
INTERJET,2019-03-01,23245
ALLAS S.A.S,2019-03-01,1252
AERO TAXI GUAYMARAL,2014-06-01,125
CHARTER EXPRESS SAS,2014-01-01,17
INSEL AIR,2014-12-01,2649
SPIRIT AIRLINES,2014-09-01,20746
SADELCA,2014-04-01,713
AEROCOL S.A.S,2015-06-01,143
AIR CANADA,2015-06-01,6149
LUFTHANSA,2015-08-01,16897
DYNAMIC AIRWAYS,2015-07-01,0
SKY LEASE,2020-12-01,0
AEROGAL,2021-12-01,34300
SEARCA S.A.,2021-01-01,20526
AEREA S.A.,2021-01-01,4800
ABX AIR INC,2020-09-01,0
AIR CANADA,2020-04-01,0
ATLAS AIR,2020-07-01,0
SPIRIT AIRLINES,2020-08-01,7980
HELI JET SAS,2021-02-01,662
AEREA S.A.,2021-06-01,1626
IBERIA,2021-05-01,20432
SOLAIR S.A.S,2022-07-01,99
AMERIJET INTERNATIONAL,2019-04-01,0
DELTA,2017-01-01,15932
LUFTHANSA,2017-01-07,14632
TAC,2017-01-05,2304
21 AIR,2017-01-11,0
ASES LTDA.,2017-01-12,773
TAC,2019-01-01,2533
CARGOLUX AIRLINES INTERNATIONAL S.A.,2019-03-01,0
AEROCHARTER ANDINA S.A.S.,2014-10-01,170
AEXPA,2014-01-01,179
NO REGISTRA,2014-02-01,646
LASER AEREO S.A.S,2014-06-01,545
UNITED PARCEL SERVICE,2014-06-01,0
STARBLUE AIRLINES,2015-01-01,30
STARBLUE AIRLINES,2015-12-01,108
ASES LTDA.,2015-02-01,142
NO REGISTRA,2015-01-01,571
AIR COLOMBIA,2015-08-01,0
AMERICAN,2015-03-01,35775
AMERICAN,2015-08-01,58519
AIR CANADA,2015-08-01,6183
CENTURION AIR CARGO COLOMBIA,2015-04-01,0
IBERIA,2015-09-01,21685
SKY LEASE,2015-02-01,0
"AVIOR AIRLINES,C.A.",2015-10-01,7377
ABSA,2015-07-01,0
UNITED AIR LINES INC,2015-12-01,28246
EZ AIR,2022-04-01,538
SAER,2022-08-01,129
LUFTHANSA,2022-08-01,6771
FEDERAL EXPRESS CORPORATION,2021-12-01,0
AERUPIA SAS,2020-07-01,99
AMERICA´S AIR SAS,2020-04-01,0
EASYFLY S.A,2020-02-01,559194
LAS,2020-07-01,0
ARO LTDA,2021-07-01,326
EMIRATES,2021-05-01,0
SARPA S.A.S,2017-01-09,2592
STARBLUE AIRLINES,2019-03-01,82
PACIFICA DE AVIACION S.A.S,2014-06-01,187
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2014-08-01,0
AERO APOYO,2015-01-01,207
ALPES S.A.S,2015-06-01,352
SOLAIR S.A.S,2015-08-01,140
AMERICA´S AIR SAS,2015-06-01,322
CENTRAL CHARTER,2015-05-01,31
ADA,2015-03-01,28089
JETBLUE AIRWAYS,2015-11-01,36062
VIVA AIR,2015-05-01,219365
AERO APOYO,2020-11-01,57
ETHIPIAN AIRLINES,2020-11-01,0
AMERICAN,2021-04-01,195245
AIR EUROPA,2021-04-01,8522
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2021-04-01,0
SKY AIRLINE,2022-04-01,5483
VIVA AIR,2021-01-01,1011768
SAE,2020-09-01,378
AMERIJET INTERNATIONAL,2020-03-01,0
COPA,2020-02-01,59826
TURKISH AIRLINES INC,2021-02-01,3711
SKY AIRLINE,2021-02-01,1881
AMERICAN,2017-01-03,44550
CUBANA,2017-01-06,561
TURKISH AIRLINES INC,2017-01-06,3600
AEROMENEGUA,2017-01-05,94
AIR EUROPA,2017-01-12,16210
HELICOL,2017-01-09,5550
SKY LEASE,2017-01-10,0
AEROMENEGUA,2014-01-01,250
LATAM,2014-09-01,412113
ASES LTDA.,2014-10-01,30
AEROSUCRE,2014-05-01,0
SKY LEASE,2014-06-01,0
MAS AIR,2014-03-01,0
CONVIASA,2014-05-01,5913
AER CARIBE,2015-06-01,22
MAS AIR,2015-12-01,0
UNITED PARCEL SERVICE,2015-07-01,0
VIVA AIR,2015-02-01,193113
MARTINAIR,2020-11-01,0
AIR CANADA,2020-12-01,10524
QATAR AIRWAYS COMPANY,2020-12-01,0
TACA INTERNATIONAL,2020-12-01,10080
AEROLINEAS ARGENTINAS,2022-12-01,5748
AERO APOYO,2020-02-01,414
SPIRIT AIRLINES,2020-09-01,39931
INTEREJECUTIVA,2021-03-01,276
SATENA,2021-03-01,148970
AEROMENEGUA,2022-07-01,113
AIR FRANCE,2017-01-04,12702
KELOWNA FLIGHTCRFT AIR CHARTER LTD.,2017-01-01,0
SKY LEASE,2017-01-02,0
ABSA,2017-01-08,0
TRANS AMERICAN AIR LINES,2017-01-07,18154
CONVIASA,2017-01-03,3295
TACA INTERNATIONAL,2017-01-09,23293
AVIOCESAR,2017-01-11,96
HELI JET SAS,2017-01-10,432
TRANSPACIFICOS,2017-01-10,306
JETBLUE AIRWAYS,2019-01-01,43678
TAMPA CARGO,2019-06-01,0
ALLAS S.A.S,2019-06-01,971
COPA,2014-01-01,16606
COPA,2014-08-01,13787
JETBLUE AIRWAYS,2014-10-01,29137
LAS,2014-07-01,0
AVIOCESAR,2015-12-01,67
HELIGOLFO S.A.S,2015-07-01,700
AER CARIBE,2015-05-01,49
PACIFICA DE AVIACION S.A.S,2015-01-01,123
KHI,2022-04-01,0
INTEREJECUTIVA,2022-08-01,178
LATAM,2022-08-01,780592
SEARCA S.A.,2020-05-01,1602
HELI JET SAS,2020-05-01,66
AERO TAXI GUAYMARAL,2020-02-01,78
AIR EUROPA,2020-04-01,693
ATLAS AIR,2020-08-01,0
HELISTAR S.A.S,2020-08-01,786
CARGOLUX AIRLINES INTERNATIONAL S.A.,2021-05-01,0
UNITED AIR LINES INC,2021-05-01,19790
AERO APOYO,2022-07-01,393
LUFTHANSA,2019-02-01,11680
HORIZONTAL S A S,2019-06-01,1348
LAS,2019-03-01,0
STARBLUE AIRLINES,2014-01-01,120
SKY LEASE,2014-05-01,0
AVIOICHARTER LIMITADA,2015-04-01,141
TAXCO,2015-04-01,41
HORIZONTAL S A S,2015-11-01,907
ABX AIR INC,2015-05-01,0
AVIANCA,2015-09-01,1403659
SELVA,2015-08-01,0
TACA INTERNATIONAL,2015-05-01,20583
COPA,2020-11-01,89256
SATENA,2022-04-01,77098
UNIWORLD AIR CARGO,2022-08-01,0
AEROGAL,2022-12-01,47825
TACA INTERNATIONAL,2022-12-01,11630
RIO SUR,2020-09-01,33
AEREA S.A.,2020-02-01,1596
PACIFICA DE AVIACION S.A.S,2020-02-01,2736
AEROPACA SAS,2020-08-01,993
AIR CANADA,2020-10-01,0
AVIANLINE CHARTE´S S.A.S.,2022-02-01,999
HELICOL,2020-01-01,9906
AIR FRANCE,2021-06-01,8024
SPIRIT AIRLINES,2017-01-05,22251
SARPA S.A.S,2017-01-06,1341
GEMINI AIRLINES,2019-01-01,237
SAVIARE LTDA,2019-02-01,167
AMERIJET INTERNATIONAL,2019-06-01,0
SEARCA S.A.,2014-10-01,17638
TAERCO,2014-05-01,126
